axis=2 center=525 amp=300 duration_s=10
wake=ok after 1ms
ang_start=998 ang_preclose=998 max_dANG_open=0 (moved > 30)
ang_postclose=896 dANG_postclose=102
verdict: DISCONNECT-GATED - flat while open, moved only after ecx_close
phase,t_ms,target,angleact,pos,sta,cur,err
open,8897,825,998,1552,1,0,0
open,8917,825,998,1552,1,0,0
open,8937,825,998,1552,1,0,0
open,8957,825,998,1552,1,0,0
open,8978,825,998,1552,1,0,0
open,8998,825,998,1552,1,0,0
open,9019,225,998,1552,1,0,0
open,9039,225,998,1552,1,0,0
open,9059,225,998,1552,1,0,0
open,9079,225,998,1552,1,0,0
open,9100,225,998,1552,1,0,0
open,9120,225,998,1552,1,0,0
open,9141,225,998,1552,1,0,0
open,9161,225,998,1552,1,0,0
open,9182,225,998,1552,1,0,0
open,9202,225,998,1552,1,0,0
open,9222,225,998,1552,1,0,0
open,9242,225,998,1552,1,0,0
open,9263,225,998,1552,1,0,0
open,9283,225,998,1552,1,0,0
open,9304,225,998,1552,1,0,0
open,9324,225,998,1552,1,0,0
open,9344,225,998,1552,1,0,0
open,9364,225,998,1552,1,0,0
open,9384,225,998,1552,1,0,0
open,9404,225,998,1552,1,0,0
open,9424,225,998,1552,1,0,0
open,9444,225,998,1552,1,0,0
open,9464,225,998,1552,1,0,0
open,9484,225,998,1552,1,0,0
open,9504,825,998,1552,1,0,0
open,9524,825,998,1552,1,0,0
open,9545,825,998,1552,1,0,0
open,9565,825,998,1552,1,0,0
open,9585,825,998,1552,1,0,0
open,9605,825,998,1552,1,0,0
open,9625,825,998,1552,1,0,0
open,9645,825,998,1552,1,0,0
open,9665,825,998,1552,1,0,0
open,9685,825,998,1552,1,0,0
open,9705,825,998,1552,1,0,0
open,9725,825,998,1552,1,0,0
open,9745,825,998,1552,1,0,0
open,9765,825,998,1552,1,0,0
open,9785,825,998,1552,1,0,0
open,9805,825,998,1552,1,0,0
open,9825,825,998,1552,1,0,0
open,9845,825,998,1552,1,0,0
open,9865,825,998,1552,1,0,0
open,9885,825,998,1552,1,0,0
open,9905,825,998,1552,1,0,0
open,9925,825,998,1552,1,0,0
open,9945,825,998,1552,1,0,0
open,9965,825,998,1552,1,0,0
open,9985,825,998,1552,1,0,0
park,10000,825,998,1552,1,0,0
park,10023,825,998,1552,1,0,0
park,10046,825,998,1552,1,0,0
park,10068,825,998,1552,1,0,0
park,10091,825,998,1552,1,0,0
park,10114,825,998,1552,1,0,0
park,10137,825,998,1552,1,0,0
park,10159,825,998,1552,1,0,0
park,10182,825,998,1552,1,0,0
park,10205,825,998,1552,1,0,0
park,10228,825,998,1552,1,0,0
park,10250,825,998,1552,1,0,0
park,10273,825,998,1552,1,0,0
park,10296,825,998,1552,1,0,0
park,10318,825,998,1552,1,0,0
park,10341,825,998,1552,1,0,0
park,10364,825,998,1552,1,0,0
park,10387,825,998,1552,1,0,0
park,10409,825,998,1552,1,0,0
park,10432,825,998,1552,1,0,0
park,10455,825,998,1552,1,0,0
park,10478,825,998,1552,1,0,0
park,10500,825,998,1552,1,0,0
park,10523,825,998,1552,1,0,0
park,10546,825,998,1552,1,0,0
preclose,10568,825,998,1552,1,0,0
postclose,14972,-1,896,1713,1,0,0
